latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41.01886,28.55647,301.64,0.46,0.39,2026-03-02,0024,N,VIIRS,n,2.0NRT,274.79,0.91,N
41.02077,28.55489,305.06,0.52,0.41,2026-03-03,2345,N,VIIRS,n,2.0NRT,276.92,1.47,N
41.01914,28.55446,299.26,0.52,0.41,2026-03-03,2345,N,VIIRS,n,2.0NRT,275.72,1.51,N
41.02171,28.55708,301.45,0.53,0.42,2026-03-07,0030,N,VIIRS,n,2.0NRT,277.24,0.96,N
41.3322,28.48159,329.68,0.36,0.57,2026-03-07,1155,N,VIIRS,n,2.0NRT,283.06,2.59,D
41.0221,28.55542,308.28,0.39,0.36,2026-03-08,0011,N,VIIRS,n,2.0NRT,277.57,0.72,N
41.01881,28.55446,295.3,0.39,0.36,2026-03-08,0011,N,VIIRS,n,2.0NRT,274.69,0.72,N
40.80644,29.37036,302.14,0.44,0.46,2026-03-09,2333,N,VIIRS,n,2.0NRT,276.58,0.82,N
40.80899,29.3694,300.98,0.44,0.46,2026-03-09,2333,N,VIIRS,n,2.0NRT,276.57,0.85,N
40.8037,29.37943,295.09,0.44,0.46,2026-03-09,2333,N,VIIRS,n,2.0NRT,277.37,1.01,N
41.02322,28.5545,298.4,0.59,0.7,2026-03-10,0113,N,VIIRS,n,2.0NRT,276.29,0.92,N
41.02242,28.55508,297.58,0.59,0.7,2026-03-10,0113,N,VIIRS,n,2.0NRT,277.08,0.87,N
40.80498,29.37888,295.51,0.39,0.59,2026-03-10,2314,N,VIIRS,n,2.0NRT,277.73,1.11,N
41.02451,28.55675,303.66,0.35,0.57,2026-03-11,0056,N,VIIRS,n,2.0NRT,278.34,1.15,N
41.02023,28.55791,325.31,0.41,0.37,2026-03-25,1115,N,VIIRS,n,2.0NRT,294,2.36,D
41.02101,28.55299,311.16,0.49,0.48,2026-03-25,2333,N,VIIRS,n,2.0NRT,279.92,1.78,N
41.01987,28.55086,298.78,0.59,0.7,2026-03-26,0113,N,VIIRS,n,2.0NRT,276.71,1.05,N
41.01915,28.55157,298.43,0.59,0.7,2026-03-26,0113,N,VIIRS,n,2.0NRT,277.06,1.1,N
41.02325,28.55489,295.03,0.43,0.62,2026-03-26,2316,N,VIIRS,n,2.0NRT,273.45,1.09,N
41.01868,28.55334,309.76,0.35,0.57,2026-03-27,0056,N,VIIRS,n,2.0NRT,277.98,0.83,N
41.02026,28.55225,307.17,0.36,0.57,2026-03-31,2322,N,VIIRS,n,2.0NRT,280.73,1.44,N
41.02005,28.55641,296.25,0.36,0.57,2026-03-31,2322,N,VIIRS,n,2.0NRT,279.85,0.79,N
41.02199,28.55499,311.96,0.36,0.57,2026-03-31,2322,N,VIIRS,n,2.0NRT,282.53,1.52,N
41.02039,28.55419,300.02,0.42,0.61,2026-04-01,0102,N,VIIRS,n,2.0NRT,278.14,0.88,N
41.02224,28.55652,295.46,0.42,0.61,2026-04-01,0102,N,VIIRS,n,2.0NRT,277.97,0.79,N
41.01964,28.55533,328.29,0.39,0.36,2026-04-05,1110,N,VIIRS,l,2.0NRT,300.2,2.09,D
41.02122,28.55475,306.96,0.59,0.53,2026-04-05,2329,N,VIIRS,n,2.0NRT,281.25,1.63,N
41.01936,28.55475,300.99,0.52,0.67,2026-04-06,2309,N,VIIRS,n,2.0NRT,282.14,1.09,N
41.02201,28.55289,296.85,0.59,0.53,2026-04-07,0050,N,VIIRS,n,2.0NRT,281.64,0.77,N
41.01996,28.55735,312.31,0.39,0.36,2026-04-09,0011,N,VIIRS,n,2.0NRT,280.05,1.81,N
41.01913,28.55691,312.43,0.45,0.39,2026-04-09,2354,N,VIIRS,n,2.0NRT,279.16,2.12,N
41.02136,28.55579,311.89,0.48,0.48,2026-04-10,2333,N,VIIRS,n,2.0NRT,278.28,1.5,N
41.02109,28.55612,307.12,0.42,0.45,2026-04-13,0037,N,VIIRS,n,2.0NRT,279.61,0.94,N
40.80247,29.37127,299.5,0.44,0.38,2026-04-14,0020,N,VIIRS,n,2.0NRT,279.4,0.91,N
